global_step,update_step,loss,lr,tokens_seen,throughput_tokens,throughput_examples,throughput_batches,use_exact_loro,opt_step,update_time
32,1,10.625,0.0010002322330470337,99186,12043.077813339174,62.16659448339138,3.885412155211961,False,1,8.235934495925903
64,2,10.125,0.0010004644660940674,199883,20694.00248747151,105.21990996340917,6.576244372713073,False,2,4.865999221801758
96,3,8.8125,0.001000696699141101,300183,20626.97041771694,105.29420592094789,6.580887870059243,False,3,4.862565755844116
128,4,8.25,0.0010009289321881345,400441,20564.7660025301,105.02064865941283,6.563790541213302,False,4,4.875231742858887
160,5,7.65625,0.0010011611652351682,501246,7876.810728505317,40.00721286637292,2.5004508041483073,True,5,12.79769229888916
192,6,7.53125,0.0010013933982822019,601901,20627.85527899966,104.92734491925712,6.55795905745357,False,6,4.87956690788269
224,7,7.6875,0.0010016256313292355,698837,19834.35230912587,104.76178491244166,6.5476115570276034,False,7,4.887278318405151
256,8,7.625,0.001001857864376269,798904,20426.69351969706,104.51464600802358,6.5321653755014735,False,8,4.898834943771362
288,9,7.625,0.0010020900974233027,899834,20581.642354676107,104.40702353704712,6.525438971065445,False,9,4.903884649276733
320,10,7.625,0.0010023223304703364,1003835,11271.921259725323,55.49200185555297,3.4682501159720607,True,10,9.226554870605469
352,11,7.65625,0.00100255456351737,1101904,20011.83391389035,104.47806099697009,6.52987881231063,False,11,4.900550365447998
384,12,7.5,0.0010027867965644037,1200120,20027.651468062297,104.40414547169398,6.525259091980874,False,12,4.904019832611084
416,13,7.59375,0.0010030190296114374,1296307,19605.852052759037,104.36125724903187,6.522578578064492,False,13,4.9060351848602295
448,14,7.625,0.001003251262658471,1396586,20431.855286324397,104.32004613725795,6.520002883578622,False,14,4.907973289489746
480,15,7.5625,0.0010034834957055045,1498041,11895.11644706347,60.029566023325586,3.751847876457849,True,15,8.529130458831787
512,16,7.59375,0.0010037157287525382,1597470,20261.1706402797,104.33293473557218,6.520808420973261,False,16,4.907366991043091
544,17,7.5,0.0010039479617995719,1699421,20761.76207538049,104.26599231586559,6.516624519741599,False,17,4.910517692565918
576,18,7.4375,0.0010041801948466056,1801201,20720.04164041652,104.23129612785674,6.514456007991046,False,18,4.912152290344238
608,19,7.5625,0.001004412427893639,1903518,20825.847757340303,104.21370888276861,6.513356805173038,False,19,4.912981271743774
640,20,7.375,0.0010046446609406727,2000070,11652.934741443669,61.79367167556507,3.862104479722817,True,20,8.285638093948364
672,21,7.375,0.0010048768939877064,2099736,20296.390010821873,104.2657645088676,6.516610281804225,False,21,4.9105284214019775
704,22,7.46875,0.00100510912703474,2198782,20158.171581895363,104.20394412626887,6.512746507891804,False,22,4.9134416580200195
736,23,7.25,0.0010053413600817735,2300343,20659.154062500606,104.14910132826883,6.509318833016802,False,23,4.91602897644043
768,24,7.34375,0.0010055735931288072,2402680,20813.480162065192,104.13146606777,6.508216629235625,False,24,4.916861534118652
800,25,7.34375,0.0010058058261758409,2504306,11895.768045963481,59.931840666102204,3.7457400416313877,True,25,8.543038129806519
832,26,7.3125,0.0010060380592228745,2603821,19979.17735866433,102.79192893168002,6.424495558230001,False,26,4.98093581199646
864,27,7.3125,0.001006270292269908,2704136,20405.14129809278,104.14626271867124,6.509141419916952,False,27,4.916162967681885
896,28,7.1875,0.0010065025253169417,2805095,20537.830008395988,104.15484468248245,6.509677792655153,False,28,4.915757894515991
928,29,7.25,0.0010067347583639754,2906918,20619.089155672315,103.67965634192889,6.479978521370556,False,29,4.938287973403931
